l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
MVO,XGBoost,GA,XGBoost,0.767166430092264,0.5344787279890418,0.7292731769468468,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.8039688924644677,0.8232135481206113,0.058460421205519246,0.085,0.5092357279795722
PSO,CatBoost,GA,XGBoost,0.7848207948899929,0.5339681934796097,0.7365199684271647,0.03192256204304397,0.413236337828247,0.968077437956956,0.8136229552158756,0.9099545642296571,0.002904865649963689,0.065,0.8140849493176079
PSO,GBM,MVO,Random Forest,0.7786550745209369,0.5338329230315287,0.7462471157340858,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7855993563958166,0.8062783973564642,0.12091503267973856,0.02,1.8534144462696125
MVO,XGBoost,MVO,XGBoost,0.7767033356990773,0.5335614296294373,0.7411395814657744,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.825020112630732,0.8471705906650144,0.05809731299927379,0.09,0.4095780784476021
GWO,CatBoost,GA,LightGBM,0.7622870830376153,0.5334548259885723,0.7275113517567163,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7440332528828104,0.8347790169351508,0.06572258533042846,0.07,1.7476834927641456
GWO,LightGBM,MVO,Random Forest,0.774263662171753,0.5333317529561684,0.7334550838754662,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7916331456154465,0.8124741842213962,0.05773420479302832,0.055,1.8372157613275857
GWO,LightGBM,GA,Random Forest,0.7698278921220724,0.5333208250917763,0.7289796882314623,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7788951461517833,0.8099958694754233,0.0570079883805374,0.07,1.8157631703571642
MVO,XGBoost,MVO,CatBoost,0.7759492547906317,0.5332103850688921,0.7403001265276695,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.8247519442209708,0.8409748038000826,0.05773420479302832,0.095,0.4325985051884024
GWO,XGBoost,MVO,Extra Trees,0.7777679205110007,0.5327213151223635,0.7402893787060568,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8028962188254224,0.8104089219330854,0.05773420479302832,0.06,1.7245697916958636
MVO,XGBoost,MFO,CatBoost,0.7620652945351313,0.5325372599174047,0.7234769738652663,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7877447036739073,0.8240396530359355,0.058823529411764705,0.1,0.4463111193995146
GWO,LightGBM,GA,GBM,0.7695173882185947,0.5324428262149393,0.7289579511316785,0.030583873957367932,0.39571504613200853,0.969416126042632,0.77822472512738,0.808756712102437,0.05773420479302832,0.065,1.283153709958548
MVO,LightGBM,MFO,Extra Trees,0.7621540099361249,0.5323103499000759,0.723672458629226,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7563689997318316,0.8062783973564642,0.053013798111837325,0.07,1.924975317439008
GWO,CatBoost,GA,Extra Trees,0.7700053229240597,0.5322436041505872,0.7302101676801163,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7676320729418075,0.8343659644774887,0.06499636891793754,0.075,1.9424643391363798
MVO,CatBoost,GA,CatBoost,0.7673438608942512,0.532147209188875,0.731064993254538,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7589165996245643,0.8467575382073523,0.05737109658678286,0.065,1.0847987014242666
MVO,LightGBM,GA,XGBoost,0.768097941802697,0.5321135030206227,0.7268007908564386,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7666934835076428,0.8261049153242461,0.05664488017429194,0.065,0.8403645137245463
PSO,GBM,GA,LightGBM,0.7679205110007097,0.5320268154051481,0.7373770382070285,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7502011263073209,0.8029739776951673,0.1310820624546115,0.03,1.6294573329036024
GWO,CatBoost,MFO,LightGBM,0.7721788502484032,0.5319349225219048,0.732114759260327,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7740681147760794,0.8360181743081372,0.06463326071169208,0.065,1.27683673800199
PSO,GBM,MVO,XGBoost,0.7820262597586941,0.5319127634663803,0.7469217550888895,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7975328506301957,0.8269310202395704,0.09803921568627451,0.02,0.6634607990242662
MVO,LightGBM,MFO,CatBoost,0.7630855216465579,0.5317520352379388,0.7217809426764374,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7511397157414856,0.8265179677819083,0.05628177196804648,0.08,0.7819513818746971
GWO,XGBoost,GA,GBM,0.7737313697657914,0.5316424982638502,0.7330587467440665,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7912308930008045,0.8083436596447748,0.058460421205519246,0.055,1.0470121697843864
